Player;Nation;Pos;Squad;Comp;Age;MP;Starts;Goals;Shots
Julián Álvarez;ARG;FWMF;Manchester City;Premier League;23;16;5;4;2.97
Agustín Álvarez Martínez;URU;FWMF;Sassuolo;Serie A;21;16;1;1;3.33
Yeray Álvarez;ESP;DF;Athletic Club;La Liga;28;18;18;1;0.34
Ibrahim Amadou;FRA;DFMF;Angers;Ligue 1;29;6;4;0;0.44
Daniel Amartey;GHA;DF;Leicester City;Premier League;28;17;15;0;0.2
Amath;SEN;MFFW;Mallorca;La Liga;26;14;3;1;1.82
Jordan Amavi;FRA;DF;Getafe;La Liga;28;4;1;0;0
Kelvin Amian;FRA;DF;Spezia;Serie A;25;15;11;0;0.77
Bruno Amione;ARG;DF;Hellas Verona;Serie A;21;1;1;0;0
Bruno Amione;ARG;DF;Sampdoria;Serie A;21;10;10;0;0.57
Nadiem Amiri;GER;MFFW;Leverkusen;Bundesliga;26;15;5;2;1.69
Ethan Ampadu;WAL;DFMF;Spezia;Serie A;22;16;16;0;0.79
Sofyan Amrabat;MAR;MF;Fiorentina;Serie A;26;18;14;0;0.54
Joachim Andersen;DEN;DF;Crystal Palace;Premier League;26;17;17;1;0.67
Elliot Anderson;SCO;FWMF;Newcastle Utd;Premier League;20;10;0;0;3.08
Felipe Anderson;BRA;FW;Lazio;Serie A;29;22;20;6;1.18
Benjamin André;FRA;MF;Lille;Ligue 1;32;20;20;1;0.77
Komnen Andri?;SRB;FW;Clermont Foot;Ligue 1;27;23;15;4;1.94
Robert Andrich;GER;MF;Leverkusen;Bundesliga;28;18;17;2;1.02
Angeliño;ESP;DF;Hoffenheim;Bundesliga;26;19;18;0;0.62
Fabrizio Angileri;ARG;DF;Getafe;La Liga;28;8;7;0;0.53
Jaidon Anthony;ENG;MFFW;Bournemouth;Premier League;23;17;7;3;1.95
Janis Antiste;FRA;FW;Sassuolo;Serie A;20;2;0;1;1.67
Waldemar Anton;GER;DF;Stuttgart;Bundesliga;26;20;20;1;0.75
Marcos Antônio;BRA;MF;Lazio;Serie A;22;11;3;0;0
Michail Antonio;JAM;FW;West Ham;Premier League;32;21;11;2;2.05
Antony;BRA;FW;Manchester Utd;Premier League;22;12;11;3;3.27
Valentin Antov;BUL;DF;Monza;Serie A;22;4;1;0;0
Christopher Antwi-Adjei;GHA;FWMF;Bochum;Bundesliga;29;15;8;2;1.48
Anuar;MAR;MFFW;Valladolid;La Liga;28;3;3;1;1.3
