Player;Nation;Pos;Squad;Comp;Age;MP;Starts;Goals;Shots
Martin Braithwaite;DEN;FWMF;Espanyol;La Liga;31;15;15;5;2.12
Juan Brandáriz;ESP;DF;Almería;La Liga;23;11;7;1;0.25
Julian Brandt;GER;MFFW;Dortmund;Bundesliga;26;20;17;6;1.33
Darko Brašanac;SRB;MF;Osasuna;La Liga;31;18;6;1;0.72
Lilian Brassier;FRA;DF;Brest;Ligue 1;23;20;19;0;0.38
Claudio Bravo;CHI;GK;Betis;La Liga;39;3;3;0;0
Fabian Bredlow;GER;GK;Stuttgart;Bundesliga;27;1;1;0;0
James Bree;ENG;DF;Southampton;Premier League;25;2;2;0;0
Josip Brekalo;CRO;FW;Fiorentina;Serie A;24;1;0;0;5
Josip Brekalo;CRO;MFFW;Wolfsburg;Bundesliga;24;6;3;0;0.67
Gleison Bremer;BRA;DF;Juventus;Serie A;25;18;18;1;0.97
Armando Broja;ALB;FW;Chelsea;Premier League;21;12;2;1;1.82
Dylan Bronn;TUN;DF;Salernitana;Serie A;27;18;14;0;0.5
John Brooks;USA;DF;Hoffenheim;Bundesliga;30;3;3;0;0.33
Moritz Broschinski;GER;FW;Bochum;Bundesliga;22;1;0;1;15
Marcelo Brozovi?;CRO;MF;Inter;Serie A;30;11;7;2;1.55
Cédric Brunner;SUI;DF;Schalke 04;Bundesliga;28;17;17;0;0.38
Lewis Brunt;ENG;DF;Leicester City;Premier League;22;1;0;0;0
Jacob Bruun Larsen;DEN;FW;Hoffenheim;Bundesliga;24;11;3;1;1.82
Andreas Bruus;DEN;DFFW;Troyes;Ligue 1;24;16;11;0;0.35
Bryan;ESP;MFFW;Tottenham;Premier League;22;4;2;0;1.25
Bryan;ESP;DFMF;Sevilla;La Liga;22;2;1;1;1.33
Joe Bryan;ENG;MFDF;Nice;Ligue 1;29;5;2;0;0.56
Lee Buchanan;ENG;DFFW;Werder Bremen;Bundesliga;21;13;1;1;1.33
Ante Budimir;CRO;FW;Osasuna;La Liga;31;16;11;2;2.92
Emi Buendía;ARG;MFFW;Aston Villa;Premier League;26;21;13;3;2.21
Hugo Bueno;ESP;DF;Wolves;Premier League;20;12;10;0;0.42
Santiago Bueno;URU;DF;Girona;La Liga;24;20;20;0;0.55
Adam Buksa;POL;FWMF;Lens;Ligue 1;26;4;0;0;0
Marius Bülter;GER;FWMF;Schalke 04;Bundesliga;29;20;17;3;1.99
Cristian Buonaiuto;ITA;MFFW;Cremonese;Serie A;30;16;3;0;4.14
Facundo Buonanotte;ARG;MFFW;Brighton;Premier League;18;1;0;0;0
Alessandro Buongiorno;ITA;DF;Torino;Serie A;23;18;16;0;0.83
Delano Burgzorg;NED;FWMF;Mainz 05;Bundesliga;24;10;0;0;1.74
Jonathan Burkardt;GER;MFFW;Mainz 05;Bundesliga;22;11;7;1;3.39
Oliver Burke;SCO;FWMF;Werder Bremen;Bundesliga;25;15;1;2;2.67
Dan Burn;ENG;DF;Newcastle Utd;Premier League;30;22;21;0;0.53
Maxime Busi;BEL;DF;Reims;Ligue 1;23;9;7;0;0.44
Sergio Busquets;ESP;MF;Barcelona;La Liga;34;18;16;0;0.28
Aurélio Buta;POR;DF;Eint Frankfurt;Bundesliga;26;4;2;2;0.8
Marcin Bu?ka;POL;GK;Nice;Ligue 1;23;2;2;0;0
Jamie Bynoe-Gittens;ENG;FWMF;Dortmund;Bundesliga;18;9;2;3;4.38
Juan Cabal;COL;DF;Hellas Verona;Serie A;22;3;0;0;0
Rémy Cabella;FRA;MFFW;Lille;Ligue 1;32;16;13;4;1.58
Jimmy Cabot;FRA;DFMF;Lens;Ligue 1;28;11;5;0;0.88
Leandro Cabrera;URU;DF;Espanyol;La Liga;31;19;19;0;0.77
Liberato Cacace;NZL;DF;Empoli;Serie A;22;5;2;0;1.33
Anthony Caci;FRA;DF;Mainz 05;Bundesliga;25;17;11;1;0.51
Cafú;POR;MF;Nott'ham Forest;Premier League;29;1;0;0;0
Moisés Caicedo;ECU;MF;Brighton;Premier League;21;20;19;1;0.73
Tom Cairney;SCO;MF;Fulham;Premier League;32;22;1;0;2.12
Jens Cajuste;SWE;MF;Reims;Ligue 1;23;16;8;1;1.37
Cala;ESP;DF;Cádiz;La Liga;33;3;1;0;0.67
Davide Calabria;ITA;DF;Milan;Serie A;26;14;13;1;0.63
Mattia Caldara;ITA;DF;Spezia;Serie A;28;14;10;0;0.74
Luca Caldirola;ITA;DF;Monza;Serie A;32;17;15;0;0.34
Fernando Calero;ESP;DFMF;Espanyol;La Liga;27;17;14;0;0.31
Duje ?aleta-Car;CRO;DF;Southampton;Premier League;26;10;7;0;0.38
Duje ?aleta-Car;CRO;DF;Marseille;Ligue 1;26;1;0;0;0
Hakan Çalhanoðlu;TUR;MF;Inter;Serie A;29;20;19;2;1.65
Kerim Calhanoglu;GER;DF;Schalke 04;Bundesliga;20;3;0;0;1.43
Daniel Caligiuri;ITA;DFMF;Augsburg;Bundesliga;35;11;2;1;1.72
Alexander Callens;PER;DF;Girona;La Liga;30;1;0;0;0
Dominic Calvert-Lewin;ENG;FW;Everton;Premier League;25;11;9;1;1.98
Mahdi Camara;FRA;MF;Brest;Ligue 1;24;17;14;0;1.02
Mohamed Camara;GUI;MF;Roma;Serie A;25;9;5;0;0.95
Mohamed Camara;MLI;MF;Monaco;Ligue 1;23;18;16;0;1.04
Ousmane Camara;GUI;FWMF;Auxerre;Ligue 1;21;3;0;0;3.33
Ousmane Camara;FRA;DF;Angers;Ligue 1;19;3;2;0;0
Eduardo Camavinga;FRA;MFDF;Real Madrid;La Liga;20;20;9;0;1.18
Nicolò Cambiaghi;ITA;FWMF;Empoli;Serie A;22;16;3;2;2.93
Andrea Cambiaso;ITA;DF;Bologna;Serie A;22;19;13;0;0.55
Axel Camblan;FRA;FWMF;Brest;Ligue 1;19;7;0;0;1.25
Sergio Camello;ESP;FW;Rayo Vallecano;La Liga;22;20;17;5;2.58
Chem Campbell;WAL;FWMF;Wolves;Premier League;20;5;0;0;2.5
Emre Can;GER;MF;Dortmund;Bundesliga;29;14;7;0;0.62
Sergio Canales;ESP;FWMF;Betis;La Liga;31;18;16;3;1.54
Matteo Cancellieri;ITA;FW;Lazio;Serie A;21;14;1;0;1.74
João Cancelo;POR;DF;Manchester City;Premier League;28;17;16;2;1.2
João Cancelo;POR;DFFW;Bayern Munich;Bundesliga;28;2;2;0;0.67
Antonio Candreva;ITA;DFMF;Salernitana;Serie A;35;20;18;2;1.28
Thomas Cannon;IRL;FW;Everton;Premier League;20;2;0;0;3.33
Sergi Canós;ESP;FWDF;Brentford;Premier League;26;5;0;0;1.11
Ander Capa;ESP;MFFW;Athletic Club;La Liga;31;2;0;0;0
Pierrick Capelle;FRA;MFDF;Angers;Ligue 1;35;16;9;0;1.1
Étienne Capoue;FRA;MF;Villarreal;La Liga;34;15;14;0;1.08
Gianluca Caprari;ITA;MFFW;Monza;Serie A;29;21;18;4;2.24
Francesco Caputo;ITA;FW;Sampdoria;Serie A;35;15;13;1;1.56
Francesco Caputo;ITA;FWMF;Empoli;Serie A;35;7;7;1;2.46
Maxence Caqueret;FRA;MF;Lyon;Ligue 1;22;20;17;1;0.98
Andrea Carboni;ITA;DF;Monza;Serie A;22;4;1;0;0.53
Valentin Carboni;ITA;MFFW;Inter;Serie A;17;2;0;0;0
Isaac Carcelen;ESP;DF;Cádiz;La Liga;29;14;12;0;0.34
Irvin Cardona;FRA;FWMF;Brest;Ligue 1;25;10;1;0;1.54
Irvin Cardona;FRA;MF;Augsburg;Bundesliga;25;1;0;0;1.67
Igor Carioca;BRA;FW;Lorient;Ligue 1;26;1;0;0;0
Carlos;BRA;DF;Monza;Serie A;24;20;20;4;1.28
Diego Carlos;BRA;DF;Aston Villa;Premier League;29;2;2;0;2
Juan Carlos;ESP;GK;Girona;La Liga;35;10;10;0;0
José Carlos Lazo;ESP;MFFW;Almería;La Liga;26;1;0;0;10
José Carlos Lazo;ESP;MFFW;Espanyol;La Liga;26;8;0;1;2.86
Carmona;ESP;MF;Elche;La Liga;21;3;3;1;1.38
Carmona;ESP;DF;Sevilla;La Liga;21;10;5;2;0.85
Marco Carnesecchi;ITA;GK;Cremonese;Serie A;22;12;12;0;0
Yannick Carrasco;BEL;DFMF;Atlético Madrid;La Liga;29;18;10;1;2.59
Dani Carvajal;ESP;DF;Real Madrid;La Liga;31;15;12;0;0.5
Fabio Carvalho;POR;MFFW;Liverpool;Premier League;20;11;4;2;2.97
Matis Carvalho;POR;GK;Montpellier;Ligue 1;23;2;1;0;0
William Carvalho;POR;MF;Betis;La Liga;30;18;17;2;0.93
Nicolò Casale;ITA;DF;Lazio;Serie A;24;15;15;1;0.48
Casemiro;BRA;MF;Manchester Utd;Premier League;30;17;13;2;1.24
Casemiro;BRA;MF;Real Madrid;La Liga;30;1;0;0;0
Matty Cash;POL;DF;Aston Villa;Premier League;25;17;13;0;0.53
Timothy Castagne;BEL;DF;Leicester City;Premier League;27;21;20;1;0.54
Michele Castagnetti;ITA;MF;Cremonese;Serie A;33;14;7;0;0.79
Koen Casteels;BEL;GK;Wolfsburg;Bundesliga;30;20;20;0;0
Valentín Castellanos;ARG;FW;Girona;La Liga;24;20;19;4;2.62
Jean-Charles Castelletto;CMR;DF;Nantes;Ligue 1;28;19;17;0;0.37
Samu Castillejo;ESP;FW;Valencia;La Liga;28;16;13;3;2.71
Jonny Castro;ESP;DF;Wolves;Premier League;28;15;11;0;0.71
Gaetano Castrovilli;ITA;MF;Fiorentina;Serie A;25;3;0;0;3.33
Danilo Cataldi;ITA;MF;Lazio;Serie A;28;20;19;0;0.39
Catena;ESP;DF;Rayo Vallecano;La Liga;28;19;19;1;0.26
Yoann Cathline;FRA;FWMF;Lorient;Ligue 1;20;10;5;1;2.79
Maximiliano Caufriez;BEL;DF;Clermont Foot;Ligue 1;25;16;16;0;0.39
Edinson Cavani;URU;FW;Valencia;La Liga;35;14;14;5;2.19
Dani Ceballos;ESP;MF;Real Madrid;La Liga;26;13;7;0;0.95
Federico Ceccherini;ITA;DF;Hellas Verona;Serie A;30;15;14;1;0.43
Assan Ceesay;GAM;FW;Lecce;Serie A;28;18;10;3;2.33
Emil Ceide;NOR;FW;Sassuolo;Serie A;21;12;3;0;0.57
Zeki Çelik;TUR;DF;Roma;Serie A;25;15;10;0;0.36
Fabien Centonze;FRA;DF;Nantes;Ligue 1;27;10;8;0;0.61
Franco Cervi;ARG;MF;Celta Vigo;La Liga;28;19;16;0;1.16
Julio César Enciso;PAR;FWMF;Brighton;Premier League;19;5;0;0;5.33
Leonardo César Jardim;BRA;GK;Lille;Ligue 1;27;6;6;0;0
Julian Chabot;GER;DF;Köln;Bundesliga;25;6;6;0;0.74
Florian Chabrolle;FRA;MF;Ajaccio;Ligue 1;24;6;3;0;0.56
El Chadaille Bitshiabu;FRA;DF;Paris S-G;Ligue 1;17;5;2;0;0
Fares Chaïbi;FRA;FWMF;Toulouse;Ligue 1;20;20;15;4;1.91
Nathaniel Chalobah;ENG;MF;Fulham;Premier League;28;4;1;0;10
Trevoh Chalobah;ENG;DF;Chelsea;Premier League;23;12;11;0;0.46
Calum Chambers;ENG;DFMF;Aston Villa;Premier League;28;4;1;0;0.83
Timothy Chandler;USA;DF;Eint Frankfurt;Bundesliga;32;4;0;0;0
Gaëtan Charbonnier;FRA;FWMF;Auxerre;Ligue 1;34;6;3;1;2.5
Brendan Chardonnet;FRA;DF;Brest;Ligue 1;28;18;17;0;0.46
Xavier Chavalerin;FRA;MF;Troyes;Ligue 1;31;20;14;2;1.07
Pep Chavarría;ESP;FWDF;Rayo Vallecano;La Liga;24;7;0;0;0
Rayan Cherki;FRA;MFFW;Lyon;Ligue 1;19;19;7;2;3.9
Ilyes Cheti;ALG;DF;Angers;Ligue 1;28;4;1;0;0
Lucas Chevalier;FRA;GK;Lille;Ligue 1;21;16;16;0;0
Fabio Chiarodia;ITA;DF;Werder Bremen;Bundesliga;17;1;0;0;0
Federico Chiesa;ITA;DFFW;Juventus;Serie A;25;7;1;0;1.85
Ben Chilwell;ENG;DFMF;Chelsea;Premier League;26;11;4;1;0.6
Vlad Chiriche?;ROU;DF;Cremonese;Serie A;33;8;8;0;0
Pedro Chirivella;ESP;MF;Nantes;Ligue 1;25;19;19;0;0.79
Joris Chotard;FRA;MF;Montpellier;Ligue 1;21;19;14;0;0.28
Andreas Christensen;DEN;DF;Barcelona;La Liga;26;10;9;0;0.38
Oliver Christensen;DEN;GK;Hertha BSC;Bundesliga;23;19;19;0;0
Ryan Christie;SCO;MFFW;Bournemouth;Premier League;27;19;12;1;1.48
Carney Chukwuemeka;ENG;MFFW;Chelsea;Premier League;19;8;1;0;1.82
Samuel Chukwueze;NGA;FWMF;Villarreal;La Liga;23;19;11;1;2.14
Darko Churlinov;MKD;FW;Stuttgart;Bundesliga;22;1;0;0;0
Víctor Chust;ESP;DF;Cádiz;La Liga;22;11;9;1;0.11
Tolga Ciðerci;TUR;MF;Hertha BSC;Bundesliga;30;1;0;0;2
Yanis Cimignani;FRA;MFDF;Ajaccio;Ligue 1;21;8;3;0;1.94
Daniel Ciofani;ITA;FW;Cremonese;Serie A;37;18;5;3;2.69
Tio Cipot;SVN;DFFW;Spezia;Serie A;19;3;0;0;1.67
Pathé Ciss;SEN;MFDF;Rayo Vallecano;La Liga;28;18;9;1;1.57
Souleymane Cissé;FRA;DF;Clermont Foot;Ligue 1;20;2;0;0;2.5
Patrick Ciurria;ITA;DFMF;Monza;Serie A;28;19;14;3;1.67
Bobby Clark;ENG;MF;Liverpool;Premier League;18;1;0;0;0
Alexis Claude-Maurice;FRA;FW;Nice;Ligue 1;24;2;1;0;2.86
Alexis Claude-Maurice;FRA;MFFW;Lens;Ligue 1;24;13;4;2;1.8
Jonathan Clauss;FRA;DF;Marseille;Ligue 1;30;19;18;1;1.76
Carlos Clerc;ESP;DFMF;Elche;La Liga;30;15;14;0;0.38
Nathaniel Clyne;ENG;DF;Crystal Palace;Premier League;31;16;14;0;0
Conor Coady;ENG;DF;Everton;Premier League;29;19;19;1;0.16
Marcus Coco;FRA;DFFW;Nantes;Ligue 1;26;14;3;1;1.56
Alexandre Coeff;FRA;DF;Auxerre;Ligue 1;30;7;6;0;0.15
Jack Colback;ENG;MF;Nott'ham Forest;Premier League;33;8;1;0;0
Séamus Coleman;IRL;DF;Everton;Premier League;34;13;10;0;0.32
David ?olina;CRO;DFMF;Augsburg;Bundesliga;22;3;0;1;1.43
Álex Collado;ESP;MF;Elche;La Liga;23;9;8;1;1.83
Diego Collado;ESP;FW;Villarreal;La Liga;22;2;0;0;0
Omar Colley;GAM;DF;Sampdoria;Serie A;30;16;15;1;0.39
Nathan Collins;IRL;DF;Wolves;Premier League;21;17;17;0;0.06
Lorenzo Colombo;ITA;FW;Lecce;Serie A;20;20;12;4;2.55
Andrea Colpani;ITA;MF;Monza;Serie A;23;15;4;2;2.26
Levi Colwill;ENG;DF;Brighton;Premier League;19;7;5;0;0.2
Kingsley Coman;FRA;FWMF;Bayern Munich;Bundesliga;26;14;7;4;3.13
Eray Cömert;SUI;DF;Valencia;La Liga;25;17;15;1;0.54
Santi Comesaña;ESP;MF;Rayo Vallecano;La Liga;26;18;12;1;0.97
Andrea Consigli;ITA;GK;Sassuolo;Serie A;36;19;19;0;0
Abdu Conté;POR;DF;Troyes;Ligue 1;24;12;9;1;0.22
Andrea Conti;ITA;DF;Sampdoria;Serie A;28;1;0;0;0
Lewis Cook;ENG;MF;Bournemouth;Premier League;26;19;17;0;0.3
Steve Cook;ENG;DF;Nott'ham Forest;Premier League;31;12;11;0;0.28
Liam Cooper;SCO;DF;Leeds United;Premier League;31;13;12;1;0.73
Copete;ESP;DF;Mallorca;La Liga;23;17;16;0;0.28
Diego Coppola;ITA;DF;Hellas Verona;Serie A;19;8;7;0;0.43
Francis Coquelin;FRA;MF;Villarreal;La Liga;31;15;8;1;0.76
Sébastien Corchia;FRA;DFMF;Nantes;Ligue 1;32;18;3;0;0.34
Maxwel Cornet;CIV;FW;West Ham;Premier League;26;5;1;0;4
Jesús Corona;MEX;FW;Sevilla;La Liga;30;1;1;0;0
Ángel Correa;ARG;MFFW;Atlético Madrid;La Liga;27;19;8;5;3.19
Joaquín Correa;ARG;FW;Inter;Serie A;28;17;4;3;1.88
Thierry Correia;POR;DF;Valencia;La Liga;23;16;16;0;0.26
Alessandro Cortinovis;ITA;MF;Hellas Verona;Serie A;22;1;0;0;0
Danny da Costa;GER;DF;Mainz 05;Bundesliga;29;11;6;0;0.74
David Pereira da Costa;POR;MFFW;Lens;Ligue 1;22;20;16;1;1.75
Diego Costa;ESP;FW;Wolves;Premier League;34;10;8;0;2.92
Jaume Costa;ESP;DF;Mallorca;La Liga;34;17;17;0;0.49
Logan Costa;CPV;DF;Toulouse;Ligue 1;21;1;0;0;0
Nuno da Costa;CPV;FWMF;Auxerre;Ligue 1;32;19;12;3;2.11
Samu Costa;POR;MF;Almería;La Liga;22;17;12;1;0.71
Benoît Costil;FRA;GK;Auxerre;Ligue 1;35;19;19;0;0
Vladimír Coufal;CZE;DF;West Ham;Premier League;30;16;14;0;0.35
Lassana Coulibaly;MLI;MF;Salernitana;Serie A;26;19;19;1;0.46
Tanguy Coulibaly;FRA;DFFW;Stuttgart;Bundesliga;21;2;0;0;0
Thibaut Courtois;BEL;GK;Real Madrid;La Liga;30;15;15;0;0
Mathieu Coutadeur;FRA;MF;Ajaccio;Ligue 1;36;14;11;0;0.18
Philippe Coutinho;BRA;MFFW;Aston Villa;Premier League;30;18;6;0;2.41
Yan Couto;BRA;DFMF;Girona;La Liga;20;14;7;0;0.66
Conor Coventry;IRL;MFFW;West Ham;Premier League;22;1;0;0;0
Nicolas Cozza;FRA;DF;Montpellier;Ligue 1;24;17;14;2;0.49
Aaron Cresswell;ENG;DF;West Ham;Premier League;33;18;17;0;0.41
Bryan Cristante;ITA;MF;Roma;Serie A;27;22;22;1;0.88
Domen ?rnigoj;SVN;MFFW;Salernitana;Serie A;27;2;0;0;0
Juan Cruz Armada;ESP;DF;Osasuna;La Liga;30;16;14;0;0.07
Juan Cruz;ESP;FW;Betis;La Liga;22;5;1;1;2.63
Juan Cuadrado;COL;DFFW;Juventus;Serie A;34;16;13;0;1.53
Marc Cucurella;ESP;DF;Chelsea;Premier League;24;20;17;0;0.4
Jorge Cuenca;ESP;DF;Villarreal;La Liga;23;6;4;0;0.5
Braian Cufré;ARG;DF;Mallorca;La Liga;26;5;2;0;1.25
Mickaël Cuisance;FRA;MF;Sampdoria;Serie A;23;1;1;0;0
Matheus Cunha;BRA;FW;Wolves;Premier League;23;5;3;0;2.14
Matheus Cunha;BRA;FWMF;Atlético Madrid;La Liga;23;11;2;0;2.86
Curro;ESP;MF;Almería;La Liga;27;2;0;0;2
Marco D'Alessandro;ITA;DFFW;Monza;Serie A;31;8;3;0;1.25
Danilo D'Ambrosio;ITA;DF;Inter;Serie A;34;4;1;0;0
Luca D'Andrea;ITA;FW;Sassuolo;Serie A;18;5;5;0;2
Damien Da Silva;FRA;DF;Lyon;Ligue 1;34;7;3;0;0.53
Moanes Dabbur;ISR;FW;Hoffenheim;Bundesliga;30;13;4;5;2.33
Colin Dagba;FRA;DF;Strasbourg;Ligue 1;24;12;7;0;0.32
Finn Dahmen;GER;GK;Mainz 05;Bundesliga;24;5;5;0;0
Mahmoud Dahoud;GER;MF;Dortmund;Bundesliga;27;5;3;0;1.82
Patson Daka;ZAM;FW;Leicester City;Premier League;24;17;9;3;2.44
Thijs Dallinga;NED;FW;Toulouse;Ligue 1;22;21;15;7;2.01
Diogo Dalot;POR;DF;Manchester Utd;Premier League;23;15;14;0;0.99
Muhammed Damar;GER;MF;Hoffenheim;Bundesliga;18;5;1;0;0.63
Mikkel Damsgaard;DEN;MFFW;Brentford;Premier League;22;11;1;0;1.25
Flavius Daniliuc;AUT;DF;Salernitana;Serie A;21;13;11;0;0.43
Flavius Daniliuc;AUT;DF;Nice;Ligue 1;21;2;1;0;0
Danilo;BRA;MF;Nott'ham Forest;Premier League;21;2;1;0;1
Danilo;BRA;DF;Juventus;Serie A;31;21;20;2;0.75
Arnaut Danjuma;NED;FW;Tottenham;Premier League;26;1;0;0;0
Arnaut Danjuma;NED;FW;Villarreal;La Liga;26;10;6;2;2.08
Kevin Danso;AUT;DF;Lens;Ligue 1;24;22;22;1;0.59
Dante;BRA;DF;Nice;Ligue 1;39;22;22;1;0.5
Márton Dárdai;GER;DF;Hertha BSC;Bundesliga;21;7;1;0;0.5
Sergi Darder;ESP;MF;Espanyol;La Liga;29;20;20;2;1.02
Achraf Dari;MAR;DF;Brest;Ligue 1;23;12;10;1;0.4
Vladimír Darida;CZE;MF;Hertha BSC;Bundesliga;32;3;0;0;0
Matteo Darmian;ITA;DF;Inter;Serie A;33;16;12;1;0.27
Josh Dasilva;ENG;MF;Brentford;Premier League;24;22;11;3;1.17
Jonathan David;CAN;FW;Lille;Ligue 1;23;21;20;12;3.13
Alphonso Davies;CAN;DF;Bayern Munich;Bundesliga;22;17;16;0;0.52
Ben Davies;WAL;DF;Tottenham;Premier League;29;20;16;2;0.63
Tom Davies;ENG;MF;Everton;Premier League;24;10;4;0;1.3
Pawe? Dawidowicz;POL;DF;Hellas Verona;Serie A;27;11;10;1;0.84
Craig Dawson;ENG;DF;West Ham;Premier League;32;8;8;0;0.75
Craig Dawson;ENG;DF;Wolves;Premier League;32;2;2;1;1
Kevin De Bruyne;BEL;MF;Manchester City;Premier League;31;20;18;3;2.64
Charles De Ketelaere;BEL;MFFW;Milan;Serie A;21;18;6;0;1.54
Manuel De Luca;ITA;FW;Sampdoria;Serie A;24;1;0;0;0
Rodrigo De Paul;ARG;MF;Atlético Madrid;La Liga;28;15;11;1;0.82
Mattia De Sciglio;ITA;DF;Juventus;Serie A;30;10;6;0;0.6
Lorenzo De Silvestri;ITA;DF;Bologna;Serie A;34;9;5;0;0.69
Thibault De Smet;BEL;DF;Reims;Ligue 1;24;8;8;0;0
Koni De Winter;BEL;DF;Empoli;Serie A;20;11;9;0;0
Grégoire Defrel;MTQ;FW;Sassuolo;Serie A;31;10;4;1;1.56
Duccio Degli Innocenti;ITA;MF;Empoli;Serie A;19;1;0;0;0
Brecht Dejaegere;BEL;MF;Toulouse;Ligue 1;31;18;16;4;1.28
Romain Del Castillo;FRA;FWMF;Brest;Ligue 1;26;12;8;4;2.5
Alberto Del Moral;ESP;MF;Villarreal;La Liga;22;1;0;0;0
Thomas Delaine;FRA;DF;Strasbourg;Ligue 1;30;12;8;0;0.38
Thomas Delaney;DEN;MF;Sevilla;La Liga;31;8;2;0;0.88
Thomas Delaney;DEN;MF;Hoffenheim;Bundesliga;31;2;2;0;0.63
Sacha Delaye;FRA;FWMF;Montpellier;Ligue 1;20;3;0;1;10
Fran Delgado;ESP;DF;Betis;La Liga;21;1;0;0;0
Andy Delort;ALG;FW;Nice;Ligue 1;31;14;9;6;2.64
Andy Delort;ALG;FW;Nantes;Ligue 1;31;2;0;0;3.33
Karamoko Dembele;SCO;FWMF;Brest;Ligue 1;19;11;0;0;2.86
Moussa Dembélé;FRA;FWMF;Lyon;Ligue 1;26;15;6;2;2.94
Ousmane Dembélé;FRA;FW;Barcelona;La Liga;25;18;14;5;3.2
Siriki Dembélé;CIV;FWMF;Bournemouth;Premier League;26;6;0;0;1.67
Siriki Dembélé;CIV;FW;Auxerre;Ligue 1;26;1;0;0;0
Merih Demiral;TUR;DF;Atalanta;Serie A;24;18;12;1;0.37
Kerem Demirbay;GER;MF;Leverkusen;Bundesliga;29;17;10;3;1.7
Ermedin Demirovi?;BIH;FWMF;Augsburg;Bundesliga;24;19;19;7;2.63
Diego Demme;GER;MF;Napoli;Serie A;31;3;0;0;0
Sepp van den Berg;NED;DF;Schalke 04;Bundesliga;21;4;4;0;0.83
Branco van den Boomen;NED;MF;Toulouse;Ligue 1;27;22;22;5;1.78
Leander Dendoncker;BEL;MF;Aston Villa;Premier League;27;12;3;0;0.26
Leander Dendoncker;BEL;MF;Wolves;Premier League;27;4;2;0;1.25
Emmanuel Dennis;NGA;FW;Nott'ham Forest;Premier League;25;11;3;1;2.44
Fabio Depaoli;ITA;DF;Hellas Verona;Serie A;25;16;13;2;0.92
Fabio Depaoli;ITA;DFMF;Sampdoria;Serie A;25;3;1;0;1.33
Kastriot Dermaku;ALB;DF;Lecce;Serie A;31;1;0;0;0
Halil Derviþoðlu;TUR;MF;Brentford;Premier League;23;1;0;0;10
Rémy Descamps;FRA;GK;Nantes;Ligue 1;26;1;1;0;0
Mikkel Desler;DEN;DF;Toulouse;Ligue 1;27;15;14;0;0.52
Cyriel Dessers;NGA;FW;Cremonese;Serie A;28;18;15;3;2.76
Sergiño Dest;USA;DF;Milan;Serie A;22;8;2;0;0.54
Mattia Destro;ITA;FW;Empoli;Serie A;31;10;6;1;3.53
Gerard Deulofeu;ESP;FW;Udinese;Serie A;28;16;15;2;3.26
Kiernan Dewsbury-Hall;ENG;MF;Leicester City;Premier League;24;20;19;2;0.88
Samuel Di Carmine;ITA;FWMF;Cremonese;Serie A;34;2;0;0;3.33
Federico Di Francesco;ITA;FWMF;Lecce;Serie A;28;22;13;1;1.84
Michele Di Gregorio;ITA;GK;Monza;Serie A;25;21;21;0;0
Giovanni Di Lorenzo;ITA;DF;Napoli;Serie A;29;21;21;1;0.77
Ángel Di María;ARG;FW;Juventus;Serie A;34;12;8;3;2.5
Boulaye Dia;SEN;FW;Salernitana;Serie A;26;20;16;8;1.53
Moussa Diaby;FRA;FW;Leverkusen;Bundesliga;23;20;20;7;2.23
Mouctar Diakhaby;GUI;DF;Valencia;La Liga;26;14;14;2;0.55
Bafodé Diakité;FRA;DF;Lille;Ligue 1;22;21;19;0;0.57
Ibrahim Diakité;GUI;DF;Reims;Ligue 1;19;3;1;0;0.67
Abdou Diallo;SEN;DFMF;RB Leipzig;Bundesliga;26;5;5;1;0.83
Baila Diallo;FRA;DF;Clermont Foot;Ligue 1;21;2;0;0;0
Habib Diallo;SEN;FW;Strasbourg;Ligue 1;27;22;17;10;2.22
Ibrahima Diallo;FRA;MF;Southampton;Premier League;23;13;10;0;0.76
Ismael Diallo;CIV;DF;Ajaccio;Ligue 1;26;19;17;0;0.12
Mamady Diarra;MLI;MFDF;Cádiz;La Liga;22;2;1;0;4.29
Mouhamadou Diarra;SEN;MF;Strasbourg;Ligue 1;19;16;9;0;0.99
Moussa Diarra;MLI;DF;Toulouse;Ligue 1;22;17;10;0;0.09
Stéphane Diarra;FRA;FW;Lorient;Ligue 1;24;19;11;1;1.76
Youba Diarra;MLI;MF;Cádiz;La Liga;24;3;0;0;0
Rúben Dias;POR;DF;Manchester City;Premier League;25;13;9;0;0.52
Krépin Diatta;SEN;MFFW;Monaco;Ligue 1;23;19;14;2;2.08
Mory Diaw;SEN;GK;Clermont Foot;Ligue 1;29;23;23;0;0
Brahim Díaz;ESP;MF;Milan;Serie A;23;19;15;4;1.83
Luis Díaz;COL;FW;Liverpool;Premier League;26;8;7;3;2.35
Justin Diehl;GER;FW;Köln;Bundesliga;18;1;0;0;0
Bamba Dieng;SEN;FWMF;Marseille;Ligue 1;22;10;1;1;5
Bamba Dieng;SEN;FWMF;Lorient;Ligue 1;22;2;1;0;4
Eric Dier;ENG;DF;Tottenham;Premier League;29;22;21;2;0.66
Florian Dietz;GER;FW;Köln;Bundesliga;24;11;4;1;3.86
Lucas Digne;FRA;DF;Aston Villa;Premier League;29;15;14;1;0.49
Federico Dimarco;ITA;DF;Inter;Serie A;25;21;19;3;1.9
Stole Dimitrievski;MKD;GK;Rayo Vallecano;La Liga;29;19;19;0;0
Junior Dina Ebimbe;FRA;DFMF;Eint Frankfurt;Bundesliga;22;11;8;2;1.84
