Rk;Player;Nation;Pos;Squad;Comp;Age;Born;MP;Starts;Min;90s;Goals;Shots;SoT;SoT%;G/Sh;G/SoT;ShoDist;Assists;Touches
731;Cheick Doucouré;MLI;MF;Crystal Palace;Premier League;23;2000;20;20;1647;18.3;0;1.26;0.27;21.7;0;0;25.9;0.11;53.5
732;Ckene Doucouré;COM;FWMF;Lorient;Ligue 1;20;2002;5;0;56;0.6;0;5;0;0;0;0;13.1;1.67;61.7
733;Désiré Doué;FRA;MFFW;Rennes;Ligue 1;17;2005;16;7;699;7.8;3;1.67;0.64;38.5;0.23;0.6;19.6;0.13;47.4
734;Guela Doué;FRA;FW;Rennes;Ligue 1;20;2002;1;0;8;0.1;0;0;0;0;0;0;0;0;40
735;Ismaël Doukouré;FRA;DF;Strasbourg;Ligue 1;19;2003;13;11;1021;11.3;1;0.35;0.18;50;0.25;0.5;21.5;0;49.7
736;Kamory Doumbia;MLI;MF;Reims;Ligue 1;19;2003;19;11;891;9.9;2;1.92;0.81;42.1;0.05;0.13;18.8;0.2;51.5
737;Souleyman Doumbia;CIV;DFFW;Angers;Ligue 1;26;1996;18;18;1479;16.4;0;0.24;0.12;50;0;0;16.5;0;58.2
738;Flynn Downes;ENG;MF;West Ham;Premier League;24;1999;10;3;310;3.4;0;0.59;0;0;0;0;14.7;0;45
739;Bart?omiej Dr?gowski;POL;GK;Spezia;Serie A;25;1997;20;20;1752;19.5;0;0;0;0;0;0;0;0;36.4
740;Cody Drameh;ENG;DF;Leeds United;Premier League;21;2001;1;1;69;0.8;0;0;0;0;0;0;0;0;55
741;Dion Drena Beljo;CRO;FW;Augsburg;Bundesliga;20;2002;5;5;327;3.6;0;1.11;0.56;50;0;0;18.6;0;30.6
742;Dominick Drexler;GER;MFFW;Schalke 04;Bundesliga;32;1990;16;10;835;9.3;2;1.08;0.32;30;0.2;0.67;14.7;0.32;40.8
743;Domingos Duarte;POR;DF;Getafe;La Liga;27;1995;19;19;1665;18.5;0;0.59;0.16;27.3;0;0;11.5;0.11;44.9
744;Marvin Ducksch;GER;FW;Werder Bremen;Bundesliga;28;1994;20;20;1661;18.5;4;2.7;1.35;50;0.08;0.16;18.7;0.27;39.6
745;Ondrej Duda;SVK;MF;Hellas Verona;Serie A;28;1994;2;1;123;1.4;0;0.71;0;0;0;0;20.8;0;51.4
746;Ondrej Duda;SVK;MF;Köln;Bundesliga;28;1994;13;9;689;7.7;0;1.56;0.39;25;0;0;18.6;0;46.8
747;Shane Duffy;IRL;FWDF;Fulham;Premier League;31;1992;4;0;6;0.1;0;0;0;0;0;0;0;0;50
748;Rémy Dugimont;FRA;FWMF;Auxerre;Ligue 1;36;1986;10;0;108;1.2;0;3.33;0.83;25;0;0;27.6;0.83;65.8
749;Denzel Dumfries;NED;DF;Inter;Serie A;26;1996;18;14;1195;13.3;1;1.5;0.68;45;0.05;0.11;11.5;0.15;47.5
750;Alfred Duncan;GHA;MF;Fiorentina;Serie A;29;1993;13;6;537;6;0;0.33;0;0;0;0;14.1;0;55.8
751;Lewis Dunk;ENG;DF;Brighton;Premier League;31;1991;21;21;1889;21;0;0.48;0.05;10;0;0;10.9;0;89.4
752;Maxime Dupé;FRA;GK;Toulouse;Ligue 1;29;1993;22;22;1980;22;0;0;0;0;0;0;0;0;37
753;Jhon Durán;COL;FW;Aston Villa;Premier League;19;2003;1;0;9;0.1;0;0;0;0;0;0;0;0;60
754;Pablo Durán;ESP;MFDF;Celta Vigo;La Liga;22;2001;4;0;36;0.4;0;0;0;0;0;0;0;0;72.5
755;Hugo Duro;ESP;FWMF;Valencia;La Liga;23;1999;15;4;541;6;1;2.67;0.83;31.3;0.06;0.2;12.1;0;28.8
756;Jean-Kevin Duverne;FRA;DF;Brest;Ligue 1;25;1997;19;14;1390;15.4;0;0.13;0;0;0;0;15.3;0;63.5
757;Paulo Dybala;ARG;MFFW;Roma;Serie A;29;1993;16;15;1179;13.1;8;2.82;0.99;35.1;0.16;0.46;18.7;0.46;55
758;Edin D?eko;BIH;FW;Inter;Serie A;36;1986;21;15;1298;14.4;7;3.61;1.25;34.6;0.13;0.39;14.4;0.21;37.4
759;Malcolm Ebiowei;ENG;MFFW;Crystal Palace;Premier League;19;2003;3;0;34;0.4;0;0;0;0;0;0;0;0;52.5
760;Festy Ebosele;IRL;DF;Udinese;Serie A;20;2002;5;0;45;0.5;0;4;2;50;0;0;17.5;0;88
761;Enzo Ebosse;CMR;DF;Udinese;Serie A;23;1999;18;8;908;10.1;0;0.3;0;0;0;0;26.4;0;64.3
762;Tyronne Ebuehi;NGA;DF;Empoli;Serie A;27;1995;13;9;823;9.1;1;1.1;0.22;20;0.1;0.5;12.1;0.11;54.5
763;Ederson;BRA;GK;Manchester City;Premier League;29;1993;21;21;1890;21;0;0;0;0;0;0;0;0.05;37.8
764;Éderson;BRA;MFFW;Atalanta;Serie A;23;1999;19;12;1080;12;1;1.75;0.42;23.8;0.05;0.2;20.8;0;55.9
765;Odsonne Édouard;FRA;FWMF;Crystal Palace;Premier League;25;1998;20;12;1093;12.1;3;2.07;0.83;40;0.12;0.3;12.4;0.17;36.5
766;Samuel Edozie;ENG;FWMF;Southampton;Premier League;20;2003;15;5;541;6;0;1.33;0.5;37.5;0;0;16.5;0;43
767;Maximilian Eggestein;GER;MF;Freiburg;Bundesliga;26;1996;19;15;1397;15.5;0;0.39;0.06;16.7;0;0;18.3;0.13;40.1
768;Lilian Egloff;GER;MFFW;Stuttgart;Bundesliga;20;2002;10;2;241;2.7;0;2.96;0;0;0;0;20.6;0;41.9
769;Íñigo Eguaras;ESP;MF;Almería;La Liga;30;1992;16;7;628;7;1;0.71;0.29;40;0.2;0.5;18.3;0.14;60.4
770;Kingsley Ehizibue;NED;DF;Udinese;Serie A;27;1995;16;5;622;6.9;1;0.72;0.14;20;0.2;1;17.3;0;51.6
771;Kingsley Ehizibue;NED;DF;Köln;Bundesliga;27;1995;1;1;61;0.7;0;1.43;1.43;100;0;0;35.5;0;47.1
772;Chidera Ejuke;NGA;FWMF;Hertha BSC;Bundesliga;25;1998;15;9;790;8.8;0;2.39;0.57;23.8;0;0;19.7;0.34;44.4
773;Albin Ekdal;SWE;MF;Spezia;Serie A;33;1989;15;5;586;6.5;0;0.92;0.15;16.7;0;0;15.6;0.15;47.8
774;Hugo Ekitike;FRA;FW;Paris S-G;Ligue 1;20;2002;16;8;742;8.2;3;2.2;0.85;38.9;0.17;0.43;13.5;0.37;36.8
775;Emmanuel Ekong;SWE;FWMF;Empoli;Serie A;20;2002;2;0;20;0.2;0;5;0;0;0;0;28.2;0;30
776;Anthony Elanga;SWE;FW;Manchester Utd;Premier League;20;2002;13;5;397;4.4;0;1.82;0.68;37.5;0;0;14.7;0.23;41.1
777;Alberth Elis;HON;MFFW;Brest;Ligue 1;27;1996;2;0;71;0.8;0;0;0;0;0;0;0;0;33.8
778;Mikael Ellertsson;ISL;MFDF;Spezia;Serie A;20;2002;11;1;171;1.9;0;1.05;0;0;0;0;21.8;0;31.6
779;Harvey Elliott;ENG;MFFW;Liverpool;Premier League;19;2003;20;13;1131;12.6;1;1.67;0.48;28.6;0.05;0.17;19.3;0.08;64
780;Elif Elmas;MKD;FWMF;Napoli;Serie A;23;1999;20;6;824;9.2;5;1.74;0.76;43.8;0.25;0.57;14.5;0.11;56.7
781;Mohamed Elneny;EGY;MF;Arsenal;Premier League;30;1992;5;1;113;1.3;0;0;0;0;0;0;0;0;48.5
782;Aritz Elustondo;ESP;DF;Real Sociedad;La Liga;28;1994;16;12;1028;11.4;0;0.53;0;0;0;0;16.6;0.09;61.8
783;Nico Elvedi;SUI;DF;M'Gladbach;Bundesliga;26;1996;17;17;1485;16.5;2;0.61;0.3;50;0.2;0.4;11.4;0;77.1
784;Rodrigo Ely;BRA;DF;Almería;La Liga;29;1993;20;20;1715;19.1;0;0.63;0.05;8.3;0;0;14.7;0;54.6
785;Sepe Elye Wahi;FRA;FW;Montpellier;Ligue 1;20;2003;19;18;1540;17.1;7;1.93;0.99;51.5;0.21;0.41;14.7;0.06;26.7
786;Mohamed Elyounoussi;NOR;MFFW;Southampton;Premier League;28;1994;20;17;1400;15.6;0;1.79;0.45;25;0;0;15.9;0.06;40.3
787;Adri Embarba;ESP;FWMF;Almería;La Liga;30;1992;16;9;786;8.7;1;2.53;0.92;36.4;0.05;0.13;22.2;0.34;54
788;Adri Embarba;ESP;FW;Espanyol;La Liga;30;1992;1;0;35;0.4;0;5;0;0;0;0;29.8;0;37.5
789;Breel Embolo;SUI;FW;Monaco;Ligue 1;25;1997;23;17;1542;17.1;12;1.99;0.99;50;0.35;0.71;11;0.12;33.5
790;Emerson;BRA;DF;Tottenham;Premier League;24;1999;18;14;1196;13.3;1;0.9;0.3;33.3;0.08;0.25;15.5;0.08;66.9
791;Youssef En-Nesyri;MAR;FW;Sevilla;La Liga;25;1997;17;8;741;8.2;3;3.17;1.46;46.2;0.12;0.25;11.7;0;25.2
792;Wataru Endo;JPN;MF;Stuttgart;Bundesliga;30;1993;19;19;1662;18.5;3;1.51;0.38;25;0.11;0.43;17.9;0.05;55
793;Arne Engels;BEL;MF;Augsburg;Bundesliga;19;2003;5;5;421;4.7;0;0.85;0.21;25;0;0;25;0.43;48.1
794;Christian Eriksen;DEN;MF;Manchester Utd;Premier League;30;1992;19;18;1489;16.5;1;1.39;0.48;34.8;0.04;0.13;19.1;0.42;69.7
795;Martin Erlic;CRO;DF;Sassuolo;Serie A;25;1998;14;14;1221;13.6;0;0.07;0;0;0;0;7.7;0;57.1
796;Gonzalo Escalante;ARG;MF;Cremonese;Serie A;29;1993;9;7;555;6.2;0;0.97;0.16;16.7;0;0;17.9;0.16;56.8
797;Gonzalo Escalante;ARG;MF;Cádiz;La Liga;29;1993;3;2;210;2.3;2;2.17;0.87;40;0.4;1;14.9;0;58.7
798;Sergio Escudero;ESP;DF;Valladolid;La Liga;33;1989;10;10;767;8.5;0;1.41;0.47;33.3;0;0;22.9;0;56.9
799;Alfonso Espino;URU;DF;Cádiz;La Liga;31;1992;21;20;1772;19.7;0;0.56;0.05;9.1;0;0;25.5;0.15;55.6
800;Bernardo Espinosa;COL;DF;Girona;La Liga;33;1989;13;10;842;9.4;0;0.64;0.32;50;0;0;10.1;0.11;68.1
801;Salvatore Esposito;ITA;MF;Spezia;Serie A;22;2000;4;2;190;2.1;0;0.48;0;0;0;0;33.2;0;72.9
802;Maxime Estève;FRA;DF;Montpellier;Ligue 1;20;2002;18;14;1333;14.8;0;0.27;0;0;0;0;8.1;0;51.4
803;Pervis Estupiñán;ECU;DF;Brighton;Premier League;25;1998;18;15;1261;14;0;0.57;0;0;0;0;23.2;0.21;76.9
804;Jonny Evans;NIR;DF;Leicester City;Premier League;35;1988;9;9;810;9;0;0.11;0.11;100;0;0;3.8;0;83.7
805;Edu Expósito;ESP;MF;Espanyol;La Liga;26;1996;18;11;927;10.3;2;1.26;0.58;46.2;0.15;0.33;29;0.19;47.6
806;Eberechi Eze;ENG;MFFW;Crystal Palace;Premier League;24;1998;22;19;1549;17.2;3;2.27;0.58;25.6;0.08;0.3;23;0.17;51.6
807;Nicolás Ezequiel Fernández;ARG;MFDF;Elche;La Liga;23;2000;9;2;311;3.5;0;0.29;0.29;100;0;0;22.1;0;50.6
808;Abdessamad Ezzalzouli;MAR;FWMF;Osasuna;La Liga;21;2001;14;8;588;6.5;0;2.15;0.62;28.6;0;0;17.9;0.31;51.4
809;?ukasz Fabia?ski;POL;GK;West Ham;Premier League;37;1985;22;22;1873;20.8;0;0;0;0;0;0;0;0;29.3
810;Fabinho;BRA;MF;Liverpool;Premier League;29;1993;18;14;1253;13.9;0;0.58;0.22;37.5;0;0;18.3;0;74.2
811;Fábio;BRA;DFMF;Nantes;Ligue 1;32;1990;6;3;224;2.5;0;1.2;0.8;66.7;0;0;13.9;0;59.6
812;Noah Fadiga;SEN;DF;Brest;Ligue 1;23;1999;13;12;886;9.8;1;0.92;0.31;33.3;0.11;0.33;18.8;0;53.9
813;Wout Faes;BEL;DF;Leicester City;Premier League;24;1998;16;16;1440;16;0;0.25;0.06;25;0;0;15.5;0;79
814;Wout Faes;BEL;DF;Reims;Ligue 1;24;1998;3;3;270;3;0;0;0;0;0;0;0;0;50
815;Nicolò Fagioli;ITA;MF;Juventus;Serie A;22;2001;12;6;567;6.3;2;0.95;0.63;66.7;0.33;0.5;22.1;0.32;50.8
816;Ralf Fährmann;GER;GK;Schalke 04;Bundesliga;34;1988;3;3;270;3;0;0;0;0;0;0;0;0;45.7
817;Romain Faivre;FRA;FW;Lorient;Ligue 1;24;1998;2;1;118;1.3;0;2.31;0.77;33.3;0;0;17.7;0;62.3
818;Romain Faivre;FRA;MF;Lyon;Ligue 1;24;1998;10;3;300;3.3;0;1.52;0.61;40;0;0;23.6;0.3;65.5
819;Radamel Falcao;COL;FWMF;Rayo Vallecano;La Liga;37;1986;17;3;470;5.2;2;2.88;0.77;26.7;0.07;0.25;17.3;0;37.3
820;Wladimiro Falcone;ITA;GK;Lecce;Serie A;27;1995;22;22;1980;22;0;0;0;0;0;0;0;0;35.2
821;Fali;ESP;DFMF;Cádiz;La Liga;29;1993;14;12;914;10.2;0;0.39;0;0;0;0;18;0;41.2
822;Mamadou Fall;SEN;DF;Villarreal;La Liga;20;2002;1;0;30;0.3;0;0;0;0;0;0;0;0;73.3
823;Davide Faraoni;ITA;DF;Hellas Verona;Serie A;31;1991;8;7;478;5.3;0;1.89;0.57;30;0;0;19.4;0.38;47
824;Ansu Fati;ESP;FW;Barcelona;La Liga;20;2002;20;7;778;8.6;3;4.3;1.16;27;0.08;0.3;13.4;0.35;52.9
825;Khalil Fayad;FRA;MF;Montpellier;Ligue 1;18;2004;13;5;411;4.6;0;0.87;0.22;25;0;0;23.2;0.43;61.7
826;Cheikh Faye;SEN;FW;Montpellier;Ligue 1;24;1999;2;0;37;0.4;0;0;0;0;0;0;0;0;37.5
827;Federico Fazio;ARG;DF;Salernitana;Serie A;35;1987;12;12;1059;11.8;1;0.93;0.17;18.2;0.09;0.5;10.7;0;56.7
828;Jacopo Fazzini;ITA;MF;Empoli;Serie A;19;2003;11;2;245;2.7;0;0.74;0;0;0;0;21.5;0;57.4
829;Zouhair Feddal;MAR;DF;Valladolid;La Liga;34;1989;8;4;375;4.2;0;0.24;0;0;0;0;3.5;0;59.3
830;Nabil Fekir;FRA;MF;Betis;La Liga;29;1993;13;10;781;8.7;2;2.18;0.46;21.1;0.05;0.25;20.9;0.23;56.4
831;Felipe;BRA;DF;Nott'ham Forest;Premier League;33;1989;1;0;84;0.9;0;1.11;0;0;0;0;11.6;0;75.6
832;Felipe;BRA;DF;Atlético Madrid;La Liga;33;1989;3;2;194;2.2;0;0.45;0;0;0;0;10.6;0;67.7
833;Luiz Felipe;ITA;DF;Betis;La Liga;25;1997;11;10;772;8.6;0;0.23;0.12;50;0;0;10.8;0;58.7
834;João Félix;POR;MFFW;Chelsea;Premier League;23;1999;2;2;147;1.6;1;5.63;3.75;66.7;0.11;0.17;17.8;0;58.1
835;João Félix;POR;FWMF;Atlético Madrid;La Liga;23;1999;14;7;650;7.2;4;3.61;1.67;46.2;0.15;0.33;18.9;0.42;44.7
836;Ohis Felix Uduokhai;GER;DF;Augsburg;Bundesliga;25;1997;12;9;886;9.8;0;0.2;0.1;50;0;0;9.7;0.1;58.2
837;Kiko Femenía;ESP;DF;Villarreal;La Liga;32;1991;14;10;893;9.9;0;0;0;0;0;0;0;0;67.7
838;Evan Ferguson;IRL;FW;Brighton;Premier League;18;2004;6;2;233;2.6;3;3.08;1.92;62.5;0.38;0.6;15.9;0.77;29.2
839;Lewis Ferguson;SCO;MF;Bologna;Serie A;23;1999;15;12;1007;11.2;3;1.7;0.8;47.4;0.16;0.33;13.6;0;51.8
840;Bruno Fernandes;POR;MFFW;Manchester Utd;Premier League;28;1994;21;21;1888;21;5;2.05;0.62;30.2;0.09;0.31;21.6;0.19;61.8
841;Edimilson Fernandes;SUI;DF;Mainz 05;Bundesliga;26;1996;18;14;1268;14.1;0;0.64;0.07;11.1;0;0;24.8;0.14;55.5
842;Aitor Fernández;ESP;GK;Osasuna;La Liga;31;1991;10;10;900;10;0;0;0;0;0;0;0;0;41.2
843;Álex Fernández;ESP;MFFW;Cádiz;La Liga;30;1992;19;14;1228;13.6;3;0.88;0.51;58.3;0.17;0.29;12.4;0;47.9
844;Álvaro Fernández;ESP;GK;Espanyol;La Liga;24;1998;10;10;900;10;0;0;0;0;0;0;0;0;34
845;Carlos Fernández;ESP;FW;Real Sociedad;La Liga;26;1996;10;4;256;2.8;0;2.5;1.07;42.9;0;0;17.6;0;35.7
846;Enzo Fernández;ARG;MF;Chelsea;Premier League;22;2001;2;2;180;2;0;1.5;0;0;0;0;26.7;0.5;99.5
847;Federico Fernández;ARG;DF;Elche;La Liga;33;1989;1;1;90;1;0;0;0;0;0;0;0;0;30
848;Joaquín Fernández;ESP;DF;Valladolid;La Liga;26;1996;16;14;1315;14.6;1;0.55;0.07;12.5;0.13;1;14.4;0;53.2
849;Mateo Fernández;ESP;FWMF;Leeds United;Premier League;19;2003;2;0;3;0;0;0;0;0;0;0;0;0;4
850;Fernando;ESP;GK;Almería;La Liga;32;1990;20;20;1800;20;0;0;0;0;0;0;0;0;40
851;Fernando;BRA;MFDF;Sevilla;La Liga;35;1987;13;12;971;10.8;0;0.28;0;0;0;0;21.2;0;65.9
852;Alex Ferrari;ITA;DF;Sampdoria;Serie A;28;1994;12;10;868;9.6;0;0.52;0;0;0;0;20;0;58.3
853;Alex Ferrari;ITA;DF;Cremonese;Serie A;28;1994;5;5;373;4.1;0;0;0;0;0;0;0;0;62.2
854;Salvador Ferrer;ESP;DF;Spezia;Serie A;25;1998;2;0;92;1;0;0;0;0;0;0;0;0;72
855;Jordan Ferri;FRA;MF;Montpellier;Ligue 1;30;1992;19;18;1511;16.8;0;0.36;0.06;16.7;0;0;25.4;0.12;74
856;Fidel;ESP;FWMF;Elche;La Liga;33;1989;10;4;405;4.5;0;0.44;0;0;0;0;16.3;0.22;47.6
857;Karol Fila;POL;DF;Strasbourg;Ligue 1;24;1998;2;0;47;0.5;0;2;0;0;0;0;20.7;0;92
858;Roberto Firmino;BRA;FWMF;Liverpool;Premier League;31;1991;13;11;929;10.3;7;3.2;1.94;60.6;0.21;0.35;12.7;0.29;55.1
859;Junior Firpo;ESP;DF;Leeds United;Premier League;26;1996;5;1;209;2.3;0;0;0;0;0;0;0;0;57.4
860;Kilian Fischer;GER;DFFW;Wolfsburg;Bundesliga;22;2000;3;1;114;1.3;0;0;0;0;0;0;0;0;50
861;Mark Flekken;NED;GK;Freiburg;Bundesliga;29;1993;20;20;1800;20;0;0;0;0;0;0;0;0;43.5
862;Florian Flick;GER;MF;Schalke 04;Bundesliga;22;2000;8;5;512;5.7;0;0.35;0.18;50;0;0;24.9;0;42.8
863;Alexis Flips;FRA;DFMF;Reims;Ligue 1;23;2000;17;14;1011;11.2;2;2.59;0.89;34.5;0.07;0.2;23.4;0.27;60.1
864;Alessandro Florenzi;ITA;DF;Milan;Serie A;31;1991;2;1;97;1.1;0;0;0;0;0;0;0;0;77.3
865;Phil Foden;ENG;FWDF;Manchester City;Premier League;22;2000;18;13;1045;11.6;7;2.41;1.21;50;0.25;0.5;14.2;0.34;65.3
866;Datro Fofana;CIV;FWMF;Chelsea;Premier League;20;2002;1;0;16;0.2;0;5;0;0;0;0;11.1;0;45
867;Seko Fofana;CIV;MF;Lens;Ligue 1;27;1995;20;19;1742;19.4;3;2.16;0.62;28.6;0.05;0.17;20;0.15;62.5
868;Wesley Fofana;FRA;DF;Leicester City;Premier League;22;2000;2;2;180;2;0;1;0.5;50;0;0;10.1;0;84.5
869;Wesley Fofana;FRA;DF;Chelsea;Premier League;22;2000;2;2;180;2;0;0.5;0;0;0;0;31.8;0;104.5
870;Yahia Fofana;FRA;GK;Angers;Ligue 1;22;2000;8;8;720;8;0;0;0;0;0;0;0;0;32.6
871;Youssouf Fofana;FRA;MF;Monaco;Ligue 1;24;1999;22;21;1839;20.4;1;1.03;0.25;23.8;0.05;0.2;21.4;0.05;60.1
872;Thomas Foket;BEL;DF;Reims;Ligue 1;28;1994;8;7;623;6.9;0;0.14;0;0;0;0;15.3;0;64.1
873;José Fonte;POR;DF;Lille;Ligue 1;39;1983;19;18;1589;17.7;1;0.62;0.11;18.2;0.09;0.5;13.3;0;74.5
874;Pablo Fornals;ESP;FWMF;West Ham;Premier League;26;1996;18;11;960;10.7;1;1.59;0.47;29.4;0.06;0.2;23.9;0;53.9
875;Emil Forsberg;SWE;MFFW;RB Leipzig;Bundesliga;31;1991;17;7;755;8.4;2;0.83;0.36;42.9;0.14;0.33;17.5;0.24;44.2
876;Adam Forshaw;ENG;MF;Leeds United;Premier League;31;1991;5;2;159;1.8;0;0;0;0;0;0;0;0;43.9
877;Fraser Forster;ENG;GK;Tottenham;Premier League;34;1988;2;2;180;2;0;0;0;0;0;0;0;0;24
878;Philipp Förster;GER;MF;Bochum;Bundesliga;28;1995;17;11;867;9.6;2;1.25;0.52;41.7;0.17;0.4;20.8;0.52;46.7
879;Steven Fortes;CPV;DF;Lens;Ligue 1;30;1992;1;0;7;0.1;0;0;0;0;0;0;0;0;30
880;Timothy Fosu-Mensah;NED;DF;Leverkusen;Bundesliga;25;1998;7;1;113;1.3;0;1.54;1.54;100;0;0;27.1;0;65.4
881;Dimitri Foulquier;FRA;DFMF;Valencia;La Liga;29;1993;15;6;665;7.4;0;0.27;0;0;0;0;9.1;0.14;54.7
882;Juan Foyth;ARG;DF;Villarreal;La Liga;25;1998;9;7;631;7;1;0.43;0.29;66.7;0.33;0.5;12.5;0;70
883;Raphael Framberger;GER;DFFW;Augsburg;Bundesliga;27;1995;3;2;176;2;0;0;0;0;0;0;0;0;44
884;Tyrese Francois;AUS;FW;Fulham;Premier League;22;2000;1;0;1;0;0;0;0;0;0;0;0;0;5
885;Bartol Franji?;CRO;MF;Wolfsburg;Bundesliga;23;2000;5;3;227;2.5;0;0.8;0.8;100;0;0;11.6;0.4;45.6
886;Przemys?aw Frankowski;POL;DFMF;Lens;Ligue 1;27;1995;22;17;1579;17.5;2;1.09;0.17;15.8;0.05;0.33;21.6;0.11;74.1
887;Ryan Fraser;SCO;FW;Newcastle Utd;Premier League;28;1994;8;3;313;3.5;0;1.71;0.29;16.7;0;0;16.6;0;42
888;Davide Frattesi;ITA;MF;Sassuolo;Serie A;23;1999;21;21;1726;19.2;5;1.98;0.94;47.4;0.13;0.28;14.2;0;44.4
889;Fred;BRA;MF;Manchester Utd;Premier League;29;1993;19;7;763;8.5;2;2.47;0.59;23.8;0.1;0.4;18.4;0;71.2
890;Ryan Fredericks;ENG;DF;Bournemouth;Premier League;30;1992;9;5;463;5.1;0;0;0;0;0;0;0;0;50
891;Iván Fresneda;ESP;DF;Valladolid;La Liga;18;2004;10;7;769;8.5;0;0.12;0;0;0;0;14.5;0;68.6
892;Remo Freuler;SUI;MF;Nott'ham Forest;Premier League;30;1992;18;16;1461;16.2;0;0.37;0.06;16.7;0;0;22.3;0;47.3
893;Michael Frey;SUI;FW;Schalke 04;Bundesliga;28;1994;5;2;230;2.6;0;3.46;1.15;33.3;0;0;14.3;0.38;43.1
894;Marco Friedl;AUT;DF;Werder Bremen;Bundesliga;24;1998;18;18;1514;16.8;0;0.18;0.06;33.3;0;0;23;0;70.9
895;Marvin Friedrich;GER;DF;M'Gladbach;Bundesliga;27;1995;15;10;964;10.7;1;0.65;0.28;42.9;0.14;0.33;13.5;0;78.1
896;Jeremie Frimpong;NED;DFMF;Leverkusen;Bundesliga;22;2000;20;19;1614;17.9;5;1.23;0.56;45.5;0.23;0.5;12.5;0.22;54.9
897;Chris Führich;GER;FWMF;Stuttgart;Bundesliga;25;1998;19;13;1182;13.1;4;2.37;0.69;29;0.1;0.33;18.9;0;43.1
898;Angelo Fulgini;FRA;DF;Lens;Ligue 1;26;1996;1;0;19;0.2;0;0;0;0;0;0;0;0;85
899;Angelo Fulgini;FRA;MF;Mainz 05;Bundesliga;26;1996;16;5;525;5.8;0;1.38;0.69;50;0;0;18.6;0.17;55.2
900;Niclas Füllkrug;GER;FW;Werder Bremen;Bundesliga;30;1993;19;19;1667;18.5;13;3.03;1.19;39.3;0.16;0.41;16.6;0.16;43.8
901;Matteo Gabbia;ITA;DF;Milan;Serie A;23;1999;11;6;603;6.7;0;0.15;0;0;0;0;19.8;0;62.2
902;Manolo Gabbiadini;ITA;FWMF;Sampdoria;Serie A;31;1991;19;11;1058;11.8;4;3.47;1.44;41.5;0.1;0.24;19.9;0.08;38
903;Gianluca Gaetano;ITA;MF;Napoli;Serie A;22;2000;3;0;33;0.4;0;5;0;0;0;0;21.8;2.5;77.5
904;Roberto Gagliardini;ITA;MF;Inter;Serie A;28;1994;10;3;394;4.4;0;2.27;0.45;20;0;0;14.7;0;52.5
905;Adolfo Gaich;ARG;FW;Hellas Verona;Serie A;23;1999;1;0;23;0.3;0;0;0;0;0;0;0;0;40
906;Cody Gakpo;NED;FW;Liverpool;Premier League;23;1999;3;3;255;2.8;0;3.21;0.36;11.1;0;0;13.7;0;26.8
907;Javi Galán;ESP;DF;Celta Vigo;La Liga;28;1994;20;19;1720;19.1;0;0.37;0;0;0;0;25.1;0.05;72.5
908;Iñigo Ruiz de Galarreta;ESP;MF;Mallorca;La Liga;29;1993;17;15;1303;14.5;0;0.48;0.14;28.6;0;0;25.8;0;53.7
909;Pablo Galdames Millán;CHI;DF;Cremonese;Serie A;26;1996;1;0;32;0.4;0;0;0;0;0;0;0;0;80
910;Conor Gallagher;ENG;MFFW;Chelsea;Premier League;23;2000;20;10;841;9.3;1;1.4;0.54;38.5;0.08;0.2;19.8;0.11;68.4
911;Antonino Gallo;ITA;DF;Lecce;Serie A;23;2000;18;15;1332;14.8;0;0.2;0.07;33.3;0;0;27;0.07;57
912;Gauthier Gallon;FRA;GK;Troyes;Ligue 1;29;1993;15;15;1350;15;0;0;0;0;0;0;0;0;33
913;Cristian Gamboa;CRC;DF;Bochum;Bundesliga;33;1989;15;15;1272;14.1;0;0.5;0.07;14.3;0;0;30;0;50.5
914;Kévin Gameiro;FRA;FW;Strasbourg;Ligue 1;35;1987;20;16;1394;15.5;7;1.94;1.16;60;0.23;0.39;13.1;0;43.6
915;Idrissa Gana Gueye;SEN;MF;Everton;Premier League;33;1989;16;15;1221;13.6;0;0.07;0.07;100;0;0;28.8;0.07;59.6
916;Ignatius Ganago;CMR;FWMF;Nantes;Ligue 1;23;1999;16;8;831;9.2;3;1.74;0.65;37.5;0.19;0.5;13.3;0.33;28.7
917;Ignatius Ganago;CMR;FW;Lens;Ligue 1;23;1999;4;0;59;0.7;0;1.43;0;0;0;0;23.1;0;24.3
918;Silvère Ganvoula M'Boussy;CGO;FW;Bochum;Bundesliga;26;1996;12;0;208;2.3;0;3.91;1.3;33.3;0;0;20.2;0;44.3
919;Aleix García;ESP;MF;Girona;La Liga;25;1997;21;21;1831;20.3;0;1.23;0.54;44;0;0;23.9;0.2;72.7
920;Álvaro García;ESP;FWMF;Rayo Vallecano;La Liga;30;1992;18;17;1482;16.5;4;1.45;0.85;58.3;0.17;0.29;16.4;0.12;41.4
921;Borja García;ESP;FWMF;Girona;La Liga;32;1990;3;2;138;1.5;1;2;2;100;0.33;0.33;22.3;0;34
922;Carlos García;ESP;DF;Cádiz;La Liga;22;2000;1;0;25;0.3;0;0;0;0;0;0;0;3.33;93.3
923;Dani García;ESP;MF;Athletic Club;La Liga;32;1990;13;7;595;6.6;0;0.3;0;0;0;0;26.2;0.15;55.5
924;David García;ESP;DF;Osasuna;La Liga;28;1994;18;18;1579;17.5;1;0.46;0.11;25;0.13;0.5;10.7;0;55.9
